activitiesTestFile_121620.xlsx,0,['benthicAlgABM', 19931.0, 'Sample-Routine', '2019-06-18', '10:21:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190219-001', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,1,['benthicAlgABM', 20123.0, 'Sample-Routine', '2019-06-18', '11:45:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190219-002', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,2,['benthicAlgABM', 16873.0, 'Sample-Routine', '2019-06-18', '13:00:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190219-003', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,3,['benthicAlgABM', 16873.0, 'Quality Control Sample-Field Replicate', '2019-06-18', '13:00:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190219-004', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,4,['benthicAlgABM', 19933.0, 'Sample-Routine', '2019-06-19', '10:30:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190219-005', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,5,['benthicAlgABM', 19938.0, 'Sample-Routine', '2019-06-19', '14:40:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190219-008', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,6,['benthicAlgABM', 17324.0, 'Sample-Routine', '2019-06-19', '12:00:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190219-006', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,7,['benthicAlgABM', 20128.0, 'Sample-Routine', '2019-06-19', '13:15:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190219-007', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,8,['benthicAlgABM', 16788.0, 'Sample-Routine', '2019-07-05', '13:00:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190219-009', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,9,['benthicAlgABM', 15294.0, 'Sample-Routine', '2019-07-05', '13:00:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190219-010', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,10,['benthicAlgABM', 19955.0, 'Sample-Routine', '2019-07-05', '14:00:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190219-011', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,11,['benthicAlgABM', 19956.0, 'Sample-Routine', '2019-07-05', '14:45:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190219-012', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,12,['benthicAlgABM', 20127.0, 'Sample-Routine', '2019-07-19', '07:45:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190273-001', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,13,['benthicAlgABM', 14392.0, 'Sample-Routine', '2019-07-19', '08:45:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190273-002', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,14,['benthicAlgABM', 14392.0, 'Quality Control Sample-Field Replicate', '2019-07-19', '08:45:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190273-003', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,15,['benthicAlgABM', 15274.0, 'Sample-Routine', '2019-07-23', '10:45:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190273-004', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,16,['benthicAlgABM', 18447.0, 'Sample-Routine', '2019-07-23', '12:20:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190273-005', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,17,['benthicAlgABM', 20124.0, 'Sample-Routine', '2019-07-24', '15:45:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190273-008', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,18,['benthicAlgABM', 20122.0, 'Sample-Routine', '2019-07-24', '12:00:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190273-006', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,19,['benthicAlgABM', 20129.0, 'Sample-Routine', '2019-07-24', '14:15:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190273-007', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,20,['benthicAlgABM', 19940.0, 'Sample-Routine', '2019-07-26', '10:15:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190273-009', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,21,['benthicAlgABM', 19957.0, 'Sample-Routine', '2019-07-26', '11:30:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190273-010', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,22,['benthicAlgABM', 16649.0, 'Sample-Routine', '2019-07-26', '15:30:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190273-012', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails
activitiesTestFile_121620.xlsx,23,['benthicAlgABM', 18921.0, 'Sample-Routine', '2019-07-26', '13:15:00', 'Plastic Bottle', '', 'Surface', 0.1, 'm', 3.0, '190273-011', 'CESE', 'ctdeepWplrAbm', '', 'WTokarz', 'JCorso'],1216 (23000): Cannot add or update a child row: a foreign key constraint fails